incident_id,equipment_id,date,problem,priority,description,type,cpu,ram_gb,storage,purchase_year,wear_percent,status
1,262,2023-01-01,Не работает интернет,Средний,Необходима диагностика,Ноутбук,i5,16,HDD 1TB,2018,67,Требует ремонта
8,262,2023-01-08,Сильные торможения,Средний,Проблема выявлена пользователем,Ноутбук,i5,16,HDD 1TB,2018,67,Требует ремонта
280,262,2023-10-07,Не работает интернет,Высокий,Требуется замена комплектующих,Ноутбук,i5,16,HDD 1TB,2018,67,Требует ремонта
1334,262,2026-08-26,Перегрев,Низкий,Требуется замена комплектующих,Ноутбук,i5,16,HDD 1TB,2018,67,Требует ремонта
1597,262,2027-05-16,Артефакты на экране,Высокий,Проблема выявлена пользователем,Ноутбук,i5,16,HDD 1TB,2018,67,Требует ремонта
2,214,2023-01-02,Не работает интернет,Высокий,Требуется замена комплектующих,ПК,i3,4,HDD 500GB,2020,69,Требует ремонта
360,214,2023-12-26,Проблемы с драйверами,Высокий,Проблема выявлена пользователем,ПК,i3,4,HDD 500GB,2020,69,Требует ремонта
466,214,2024-04-10,Неисправность жесткого диска,Средний,Необходима диагностика,ПК,i3,4,HDD 500GB,2020,69,Требует ремонта
588,214,2024-08-10,Не работает интернет,Средний,Проблема выявлена пользователем,ПК,i3,4,HDD 500GB,2020,69,Требует ремонта
642,214,2024-10-03,Не загружается ОС,Низкий,Инцидент повторяется регулярно,ПК,i3,4,HDD 500GB,2020,69,Требует ремонта
870,214,2025-05-19,Синий экран,Средний,Проблема выявлена пользователем,ПК,i3,4,HDD 500GB,2020,69,Требует ремонта
1291,214,2026-07-14,Сильные торможения,Низкий,Необходима диагностика,ПК,i3,4,HDD 500GB,2020,69,Требует ремонта
1453,214,2026-12-23,Артефакты на экране,Высокий,Необходима диагностика,ПК,i3,4,HDD 500GB,2020,69,Требует ремонта
1722,214,2027-09-18,Сбой питания,Низкий,Инцидент повторяется регулярно,ПК,i3,4,HDD 500GB,2020,69,Требует ремонта
1815,214,2027-12-20,Не загружается ОС,Средний,Инцидент повторяется регулярно,ПК,i3,4,HDD 500GB,2020,69,Требует ремонта
3,153,2023-01-03,Артефакты на экране,Средний,Необходима диагностика,Моноблок,Ryzen 7,4,HDD 500GB,2020,91,Работает
97,153,2023-04-07,Не работает интернет,Низкий,Проблема выявлена пользователем,Моноблок,Ryzen 7,4,HDD 500GB,2020,91,Работает
842,153,2025-04-21,Артефакты на экране,Низкий,Необходима диагностика,Моноблок,Ryzen 7,4,HDD 500GB,2020,91,Работает
1297,153,2026-07-20,Перегрев,Средний,Проблема выявлена пользователем,Моноблок,Ryzen 7,4,HDD 500GB,2020,91,Работает
1768,153,2027-11-03,Неисправность жесткого диска,Низкий,Инцидент повторяется регулярно,Моноблок,Ryzen 7,4,HDD 500GB,2020,91,Работает
1775,153,2027-11-10,Неисправность жесткого диска,Средний,Инцидент повторяется регулярно,Моноблок,Ryzen 7,4,HDD 500GB,2020,91,Работает
4,210,2023-01-04,Проблемы с драйверами,Средний,Инцидент повторяется регулярно,ПК,i3,8,SSD 256GB,2021,15,На списание
142,210,2023-05-22,Проблемы с драйверами,Средний,Требуется замена комплектующих,ПК,i3,8,SSD 256GB,2021,15,На списание
735,210,2025-01-04,Артефакты на экране,Высокий,Требуется замена комплектующих,ПК,i3,8,SSD 256GB,2021,15,На списание
967,210,2025-08-24,Не работает интернет,Средний,Необходима диагностика,ПК,i3,8,SSD 256GB,2021,15,На списание
1422,210,2026-11-22,Артефакты на экране,Низкий,Требуется замена комплектующих,ПК,i3,8,SSD 256GB,2021,15,На списание
5,401,2023-01-05,Синий экран,Высокий,Требуется замена комплектующих,Ноутбук,i5,8,HDD 1TB,2018,22,Требует ремонта
307,401,2023-11-03,Артефакты на экране,Низкий,Требуется замена комплектующих,Ноутбук,i5,8,HDD 1TB,2018,22,Требует ремонта
577,401,2024-07-30,Сильные торможения,Средний,Требуется замена комплектующих,Ноутбук,i5,8,HDD 1TB,2018,22,Требует ремонта
680,401,2024-11-10,Перегрев,Высокий,Проблема выявлена пользователем,Ноутбук,i5,8,HDD 1TB,2018,22,Требует ремонта
716,401,2024-12-16,Артефакты на экране,Средний,Необходима диагностика,Ноутбук,i5,8,HDD 1TB,2018,22,Требует ремонта
1137,401,2026-02-10,Не работает интернет,Высокий,Проблема выявлена пользователем,Ноутбук,i5,8,HDD 1TB,2018,22,Требует ремонта
1436,401,2026-12-06,Проблемы с драйверами,Низкий,Требуется замена комплектующих,Ноутбук,i5,8,HDD 1TB,2018,22,Требует ремонта
1829,401,2028-01-03,Перегрев,Средний,Проблема выявлена пользователем,Ноутбук,i5,8,HDD 1TB,2018,22,Требует ремонта
6,61,2023-01-06,Перегрев,Средний,Необходима диагностика,Ноутбук,i5,4,SSD 256GB,2021,77,На списание
539,61,2024-06-22,Артефакты на экране,Средний,Требуется замена комплектующих,Ноутбук,i5,4,SSD 256GB,2021,77,На списание
957,61,2025-08-14,Не работает интернет,Высокий,Проблема выявлена пользователем,Ноутбук,i5,4,SSD 256GB,2021,77,На списание
1649,61,2027-07-07,Не загружается ОС,Низкий,Инцидент повторяется регулярно,Ноутбук,i5,4,SSD 256GB,2021,77,На списание
1725,61,2027-09-21,Не загружается ОС,Высокий,Проблема выявлена пользователем,Ноутбук,i5,4,SSD 256GB,2021,77,На списание
1770,61,2027-11-05,Не работает интернет,Средний,Инцидент повторяется регулярно,Ноутбук,i5,4,SSD 256GB,2021,77,На списание
7,268,2023-01-07,Перегрев,Высокий,Проблема выявлена пользователем,Моноблок,i7,8,HDD 500GB,2016,94,На списание
86,268,2023-03-27,Артефакты на экране,Низкий,Инцидент повторяется регулярно,Моноблок,i7,8,HDD 500GB,2016,94,На списание
164,268,2023-06-13,Сильные торможения,Высокий,Проблема выявлена пользователем,Моноблок,i7,8,HDD 500GB,2016,94,На списание
806,268,2025-03-16,Не загружается ОС,Низкий,Проблема выявлена пользователем,Моноблок,i7,8,HDD 500GB,2016,94,На списание
9,218,2023-01-09,Не загружается ОС,Низкий,Требуется замена комплектующих,Моноблок,Ryzen 7,8,SSD 256GB,2021,14,Работает
683,218,2024-11-13,Неисправность жесткого диска,Средний,Инцидент повторяется регулярно,Моноблок,Ryzen 7,8,SSD 256GB,2021,14,Работает
886,218,2025-06-04,Перегрев,Средний,Требуется замена комплектующих,Моноблок,Ryzen 7,8,SSD 256GB,2021,14,Работает
1484,218,2027-01-23,Сбой питания,Высокий,Требуется замена комплектующих,Моноблок,Ryzen 7,8,SSD 256GB,2021,14,Работает
10,283,2023-01-10,Сбой питания,Низкий,Требуется замена комплектующих,Моноблок,i3,16,HDD 1TB,2020,43,На списание
829,283,2025-04-08,Сильные торможения,Низкий,Необходима диагностика,Моноблок,i3,16,HDD 1TB,2020,43,На списание
1193,283,2026-04-07,Сильные торможения,Средний,Проблема выявлена пользователем,Моноблок,i3,16,HDD 1TB,2020,43,На списание
1385,283,2026-10-16,Артефакты на экране,Средний,Требуется замена комплектующих,Моноблок,i3,16,HDD 1TB,2020,43,На списание
1434,283,2026-12-04,Проблемы с драйверами,Средний,Проблема выявлена пользователем,Моноблок,i3,16,HDD 1TB,2020,43,На списание
1544,283,2027-03-24,Артефакты на экране,Высокий,Инцидент повторяется регулярно,Моноблок,i3,16,HDD 1TB,2020,43,На списание
1603,283,2027-05-22,Артефакты на экране,Низкий,Необходима диагностика,Моноблок,i3,16,HDD 1TB,2020,43,На списание
1764,283,2027-10-30,Перегрев,Высокий,Проблема выявлена пользователем,Моноблок,i3,16,HDD 1TB,2020,43,На списание
11,136,2023-01-11,Сильные торможения,Средний,Необходима диагностика,Моноблок,Ryzen 7,32,HDD 1TB,2016,61,Работает
36,136,2023-02-05,Проблемы с драйверами,Высокий,Инцидент повторяется регулярно,Моноблок,Ryzen 7,32,HDD 1TB,2016,61,Работает
506,136,2024-05-20,Не работает интернет,Высокий,Проблема выявлена пользователем,Моноблок,Ryzen 7,32,HDD 1TB,2016,61,Работает
1975,136,2028-05-28,Перегрев,Низкий,Необходима диагностика,Моноблок,Ryzen 7,32,HDD 1TB,2016,61,Работает
12,467,2023-01-12,Проблемы с драйверами,Средний,Инцидент повторяется регулярно,ПК,i5,16,HDD 500GB,2021,79,Требует ремонта
711,467,2024-12-11,Перегрев,Средний,Проблема выявлена пользователем,ПК,i5,16,HDD 500GB,2021,79,Требует ремонта
13,380,2023-01-13,Сбой питания,Высокий,Необходима диагностика,Моноблок,i7,8,HDD 1TB,2018,27,Требует ремонта
39,380,2023-02-08,Проблемы с драйверами,Низкий,Необходима диагностика,Моноблок,i7,8,HDD 1TB,2018,27,Требует ремонта
215,380,2023-08-03,Сильные торможения,Средний,Проблема выявлена пользователем,Моноблок,i7,8,HDD 1TB,2018,27,Требует ремонта
550,380,2024-07-03,Не работает интернет,Средний,Проблема выявлена пользователем,Моноблок,i7,8,HDD 1TB,2018,27,Требует ремонта
731,380,2024-12-31,Сбой питания,Средний,Проблема выявлена пользователем,Моноблок,i7,8,HDD 1TB,2018,27,Требует ремонта
1935,380,2028-04-18,Неисправность жесткого диска,Средний,Инцидент повторяется регулярно,Моноблок,i7,8,HDD 1TB,2018,27,Требует ремонта
14,362,2023-01-14,Перегрев,Низкий,Проблема выявлена пользователем,Моноблок,i7,32,HDD 1TB,2020,50,Работает
908,362,2025-06-26,Синий экран,Средний,Инцидент повторяется регулярно,Моноблок,i7,32,HDD 1TB,2020,50,Работает
1035,362,2025-10-31,Перегрев,Высокий,Инцидент повторяется регулярно,Моноблок,i7,32,HDD 1TB,2020,50,Работает
1167,362,2026-03-12,Артефакты на экране,Низкий,Необходима диагностика,Моноблок,i7,32,HDD 1TB,2020,50,Работает
1787,362,2027-11-22,Не работает интернет,Низкий,Проблема выявлена пользователем,Моноблок,i7,32,HDD 1TB,2020,50,Работает
15,449,2023-01-15,Проблемы с драйверами,Высокий,Инцидент повторяется регулярно,Моноблок,i7,4,SSD 512GB,2019,55,На списание
1120,449,2026-01-24,Синий экран,Высокий,Необходима диагностика,Моноблок,i7,4,SSD 512GB,2019,55,На списание
1579,449,2027-04-28,Не работает интернет,Низкий,Требуется замена комплектующих,Моноблок,i7,4,SSD 512GB,2019,55,На списание
1885,449,2028-02-28,Неисправность жесткого диска,Высокий,Требуется замена комплектующих,Моноблок,i7,4,SSD 512GB,2019,55,На списание
16,441,2023-01-16,Сбой питания,Средний,Инцидент повторяется регулярно,Ноутбук,i7,4,SSD 512GB,2019,10,Работает
635,441,2024-09-26,Проблемы с драйверами,Высокий,Инцидент повторяется регулярно,Ноутбук,i7,4,SSD 512GB,2019,10,Работает
909,441,2025-06-27,Не загружается ОС,Низкий,Проблема выявлена пользователем,Ноутбук,i7,4,SSD 512GB,2019,10,Работает
1206,441,2026-04-20,Не загружается ОС,Средний,Инцидент повторяется регулярно,Ноутбук,i7,4,SSD 512GB,2019,10,Работает
17,93,2023-01-17,Неисправность жесткого диска,Средний,Инцидент повторяется регулярно,ПК,Ryzen 5,32,SSD 512GB,2017,40,Работает
155,93,2023-06-04,Перегрев,Высокий,Необходима диагностика,ПК,Ryzen 5,32,SSD 512GB,2017,40,Работает
977,93,2025-09-03,Артефакты на экране,Низкий,Проблема выявлена пользователем,ПК,Ryzen 5,32,SSD 512GB,2017,40,Работает
1051,93,2025-11-16,Не работает интернет,Средний,Необходима диагностика,ПК,Ryzen 5,32,SSD 512GB,2017,40,Работает
1095,93,2025-12-30,Сильные торможения,Средний,Требуется замена комплектующих,ПК,Ryzen 5,32,SSD 512GB,2017,40,Работает
1615,93,2027-06-03,Не работает интернет,Средний,Требуется замена комплектующих,ПК,Ryzen 5,32,SSD 512GB,2017,40,Работает
1894,93,2028-03-08,Сильные торможения,Высокий,Проблема выявлена пользователем,ПК,Ryzen 5,32,SSD 512GB,2017,40,Работает
1944,93,2028-04-27,Проблемы с драйверами,Низкий,Проблема выявлена пользователем,ПК,Ryzen 5,32,SSD 512GB,2017,40,Работает
18,109,2023-01-18,Синий экран,Высокий,Необходима диагностика,ПК,i5,8,SSD 256GB,2016,39,Требует ремонта
85,109,2023-03-26,Проблемы с драйверами,Низкий,Проблема выявлена пользователем,ПК,i5,8,SSD 256GB,2016,39,Требует ремонта
308,109,2023-11-04,Сильные торможения,Низкий,Инцидент повторяется регулярно,ПК,i5,8,SSD 256GB,2016,39,Требует ремонта
329,109,2023-11-25,Не загружается ОС,Средний,Проблема выявлена пользователем,ПК,i5,8,SSD 256GB,2016,39,Требует ремонта
751,109,2025-01-20,Не работает интернет,Высокий,Инцидент повторяется регулярно,ПК,i5,8,SSD 256GB,2016,39,Требует ремонта
1155,109,2026-02-28,Не загружается ОС,Средний,Инцидент повторяется регулярно,ПК,i5,8,SSD 256GB,2016,39,Требует ремонта
1172,109,2026-03-17,Сбой питания,Средний,Требуется замена комплектующих,ПК,i5,8,SSD 256GB,2016,39,Требует ремонта
1345,109,2026-09-06,Перегрев,Низкий,Необходима диагностика,ПК,i5,8,SSD 256GB,2016,39,Требует ремонта
1753,109,2027-10-19,Проблемы с драйверами,Высокий,Необходима диагностика,ПК,i5,8,SSD 256GB,2016,39,Требует ремонта
1798,109,2027-12-03,Не загружается ОС,Низкий,Требуется замена комплектующих,ПК,i5,8,SSD 256GB,2016,39,Требует ремонта
19,241,2023-01-19,Перегрев,Средний,Проблема выявлена пользователем,ПК,i3,8,HDD 1TB,2017,26,На списание
637,241,2024-09-28,Неисправность жесткого диска,Низкий,Инцидент повторяется регулярно,ПК,i3,8,HDD 1TB,2017,26,На списание
941,241,2025-07-29,Сбой питания,Высокий,Инцидент повторяется регулярно,ПК,i3,8,HDD 1TB,2017,26,На списание
1097,241,2026-01-01,Неисправность жесткого диска,Высокий,Требуется замена комплектующих,ПК,i3,8,HDD 1TB,2017,26,На списание
1275,241,2026-06-28,Сбой питания,Средний,Инцидент повторяется регулярно,ПК,i3,8,HDD 1TB,2017,26,На списание
1302,241,2026-07-25,Сильные торможения,Средний,Необходима диагностика,ПК,i3,8,HDD 1TB,2017,26,На списание
1921,241,2028-04-04,Артефакты на экране,Средний,Проблема выявлена пользователем,ПК,i3,8,HDD 1TB,2017,26,На списание
20,355,2023-01-20,Не загружается ОС,Низкий,Требуется замена комплектующих,ПК,i5,16,HDD 500GB,2016,88,Требует ремонта
529,355,2024-06-12,Сбой питания,Высокий,Необходима диагностика,ПК,i5,16,HDD 500GB,2016,88,Требует ремонта
722,355,2024-12-22,Не работает интернет,Высокий,Инцидент повторяется регулярно,ПК,i5,16,HDD 500GB,2016,88,Требует ремонта
997,355,2025-09-23,Сильные торможения,Высокий,Инцидент повторяется регулярно,ПК,i5,16,HDD 500GB,2016,88,Требует ремонта
21,424,2023-01-21,Не работает интернет,Высокий,Необходима диагностика,ПК,Ryzen 7,4,HDD 500GB,2019,31,Работает
121,424,2023-05-01,Перегрев,Средний,Требуется замена комплектующих,ПК,Ryzen 7,4,HDD 500GB,2019,31,Работает
545,424,2024-06-28,Артефакты на экране,Высокий,Необходима диагностика,ПК,Ryzen 7,4,HDD 500GB,2019,31,Работает
1882,424,2028-02-25,Синий экран,Низкий,Необходима диагностика,ПК,Ryzen 7,4,HDD 500GB,2019,31,Работает
22,142,2023-01-22,Неисправность жесткого диска,Низкий,Требуется замена комплектующих,Моноблок,Ryzen 5,8,HDD 500GB,2019,64,Работает
23,291,2023-01-23,Не работает интернет,Низкий,Инцидент повторяется регулярно,Ноутбук,i5,32,SSD 256GB,2016,51,Требует ремонта
1510,291,2027-02-18,Артефакты на экране,Высокий,Требуется замена комплектующих,Ноутбук,i5,32,SSD 256GB,2016,51,Требует ремонта
1757,291,2027-10-23,Неисправность жесткого диска,Низкий,Проблема выявлена пользователем,Ноутбук,i5,32,SSD 256GB,2016,51,Требует ремонта
24,432,2023-01-24,Синий экран,Низкий,Инцидент повторяется регулярно,Моноблок,i5,4,SSD 512GB,2020,32,Требует ремонта
1072,432,2025-12-07,Не работает интернет,Средний,Необходима диагностика,Моноблок,i5,4,SSD 512GB,2020,32,Требует ремонта
1645,432,2027-07-03,Артефакты на экране,Низкий,Необходима диагностика,Моноблок,i5,4,SSD 512GB,2020,32,Требует ремонта
1895,432,2028-03-09,Артефакты на экране,Средний,Необходима диагностика,Моноблок,i5,4,SSD 512GB,2020,32,Требует ремонта
25,237,2023-01-25,Сбой питания,Высокий,Необходима диагностика,Ноутбук,i3,16,SSD 512GB,2019,25,Работает
754,237,2025-01-23,Артефакты на экране,Низкий,Инцидент повторяется регулярно,Ноутбук,i3,16,SSD 512GB,2019,25,Работает
1140,237,2026-02-13,Проблемы с драйверами,Высокий,Требуется замена комплектующих,Ноутбук,i3,16,SSD 512GB,2019,25,Работает
1592,237,2027-05-11,Неисправность жесткого диска,Высокий,Проблема выявлена пользователем,Ноутбук,i3,16,SSD 512GB,2019,25,Работает
1776,237,2027-11-11,Не работает интернет,Средний,Инцидент повторяется регулярно,Ноутбук,i3,16,SSD 512GB,2019,25,Работает
26,340,2023-01-26,Артефакты на экране,Средний,Проблема выявлена пользователем,Ноутбук,i7,16,HDD 500GB,2021,16,Требует ремонта
107,340,2023-04-17,Сильные торможения,Высокий,Инцидент повторяется регулярно,Ноутбук,i7,16,HDD 500GB,2021,16,Требует ремонта
710,340,2024-12-10,Проблемы с драйверами,Низкий,Инцидент повторяется регулярно,Ноутбук,i7,16,HDD 500GB,2021,16,Требует ремонта
819,340,2025-03-29,Артефакты на экране,Высокий,Требуется замена комплектующих,Ноутбук,i7,16,HDD 500GB,2021,16,Требует ремонта
1335,340,2026-08-27,Не загружается ОС,Низкий,Требуется замена комплектующих,Ноутбук,i7,16,HDD 500GB,2021,16,Требует ремонта
27,312,2023-01-27,Не загружается ОС,Низкий,Инцидент повторяется регулярно,Моноблок,i5,4,HDD 500GB,2019,58,На списание
893,312,2025-06-11,Не работает интернет,Низкий,Необходима диагностика,Моноблок,i5,4,HDD 500GB,2019,58,На списание
1147,312,2026-02-20,Синий экран,Высокий,Требуется замена комплектующих,Моноблок,i5,4,HDD 500GB,2019,58,На списание
1765,312,2027-10-31,Проблемы с драйверами,Средний,Необходима диагностика,Моноблок,i5,4,HDD 500GB,2019,58,На списание
