incident_id,equipment_id,date,problem,priority,description
1,262,2023-01-01,Не работает интернет,Средний,Необходима диагностика
2,214,2023-01-02,Не работает интернет,Высокий,Требуется замена комплектующих
3,153,2023-01-03,Артефакты на экране,Средний,Необходима диагностика
4,210,2023-01-04,Проблемы с драйверами,Средний,Инцидент повторяется регулярно
5,401,2023-01-05,Синий экран,Высокий,Требуется замена комплектующих
6,61,2023-01-06,Перегрев,Средний,Необходима диагностика
7,268,2023-01-07,Перегрев,Высокий,Проблема выявлена пользователем
8,262,2023-01-08,Сильные торможения,Средний,Проблема выявлена пользователем
9,218,2023-01-09,Не загружается ОС,Низкий,Требуется замена комплектующих
10,283,2023-01-10,Сбой питания,Низкий,Требуется замена комплектующих
11,136,2023-01-11,Сильные торможения,Средний,Необходима диагностика
12,467,2023-01-12,Проблемы с драйверами,Средний,Инцидент повторяется регулярно
13,380,2023-01-13,Сбой питания,Высокий,Необходима диагностика
14,362,2023-01-14,Перегрев,Низкий,Проблема выявлена пользователем
15,449,2023-01-15,Проблемы с драйверами,Высокий,Инцидент повторяется регулярно
16,441,2023-01-16,Сбой питания,Средний,Инцидент повторяется регулярно
17,93,2023-01-17,Неисправность жесткого диска,Средний,Инцидент повторяется регулярно
18,109,2023-01-18,Синий экран,Высокий,Необходима диагностика
19,241,2023-01-19,Перегрев,Средний,Проблема выявлена пользователем
20,355,2023-01-20,Не загружается ОС,Низкий,Требуется замена комплектующих
21,424,2023-01-21,Не работает интернет,Высокий,Необходима диагностика
22,142,2023-01-22,Неисправность жесткого диска,Низкий,Требуется замена комплектующих
23,291,2023-01-23,Не работает интернет,Низкий,Инцидент повторяется регулярно
24,432,2023-01-24,Синий экран,Низкий,Инцидент повторяется регулярно
25,237,2023-01-25,Сбой питания,Высокий,Необходима диагностика
26,340,2023-01-26,Артефакты на экране,Средний,Проблема выявлена пользователем
27,312,2023-01-27,Не загружается ОС,Низкий,Инцидент повторяется регулярно
28,177,2023-01-28,Синий экран,Низкий,Требуется замена комплектующих
29,141,2023-01-29,Не работает интернет,Низкий,Требуется замена комплектующих
30,189,2023-01-30,Неисправность жесткого диска,Средний,Необходима диагностика
31,486,2023-01-31,Перегрев,Средний,Требуется замена комплектующих
32,49,2023-02-01,Неисправность жесткого диска,Высокий,Проблема выявлена пользователем
33,302,2023-02-02,Неисправность жесткого диска,Средний,Инцидент повторяется регулярно
34,369,2023-02-03,Артефакты на экране,Высокий,Требуется замена комплектующих
35,190,2023-02-04,Артефакты на экране,Высокий,Требуется замена комплектующих
36,136,2023-02-05,Проблемы с драйверами,Высокий,Инцидент повторяется регулярно
37,43,2023-02-06,Проблемы с драйверами,Высокий,Необходима диагностика
38,404,2023-02-07,Сбой питания,Высокий,Требуется замена комплектующих
39,380,2023-02-08,Проблемы с драйверами,Низкий,Необходима диагностика
40,353,2023-02-09,Сильные торможения,Средний,Необходима диагностика
41,90,2023-02-10,Не загружается ОС,Низкий,Требуется замена комплектующих
42,295,2023-02-11,Сильные торможения,Высокий,Проблема выявлена пользователем
43,341,2023-02-12,Сильные торможения,Средний,Необходима диагностика
44,245,2023-02-13,Не работает интернет,Низкий,Требуется замена комплектующих
45,433,2023-02-14,Синий экран,Низкий,Необходима диагностика
46,192,2023-02-15,Сильные торможения,Высокий,Инцидент повторяется регулярно
